 1.000000000000E-02 -7.008451818598E+02  1.001485495334E+03 -1.702330677193E+03
 2.000000000000E-02 -7.008410401814E+02  9.936080472305E+02 -1.694449087412E+03
 3.000000000000E-02 -7.008438520656E+02  9.909674744835E+02 -1.691811326549E+03
 4.000000000000E-02 -7.008367282671E+02  9.941043623012E+02 -1.694941090568E+03
 5.000000000000E-02 -7.008382871488E+02  9.968098613872E+02 -1.697648148536E+03
 6.000000000000E-02 -7.008290820945E+02  9.948393481900E+02 -1.695668430284E+03
 7.000000000000E-02 -7.008341769560E+02  9.869716789342E+02 -1.687805855890E+03
 8.000000000000E-02 -7.008389863684E+02  9.774734261911E+02 -1.678312412559E+03
 9.000000000000E-02 -7.008479332712E+02  9.740539340202E+02 -1.674901867291E+03
 1.000000000000E-01 -7.008464338767E+02  9.785102412324E+02 -1.679356675109E+03
 1.100000000000E-01 -7.008392903511E+02  9.856781442715E+02 -1.686517434623E+03
 1.200000000000E-01 -7.008287823213E+02  9.915465111089E+02 -1.692375293430E+03
 1.300000000000E-01 -7.008257069706E+02  9.966672041290E+02 -1.697492911100E+03
 1.400000000000E-01 -7.008216225874E+02  1.000955458281E+03 -1.701777080868E+03
 1.500000000000E-01 -7.008177829261E+02  1.002597841981E+03 -1.703415624908E+03
 1.600000000000E-01 -7.008162329279E+02  1.001294188525E+03 -1.702110421453E+03
 1.700000000000E-01 -7.008272225855E+02  9.989242631710E+02 -1.699751485756E+03
 1.800000000000E-01 -7.008323320720E+02  9.979633034324E+02 -1.698795635504E+03
 1.900000000000E-01 -7.008305499898E+02  9.997387031050E+02 -1.700569253095E+03
 2.000000000000E-01 -7.008267365179E+02  1.002683782914E+03 -1.703510519432E+03
 2.100000000000E-01 -7.008229154432E+02  1.003037278509E+03 -1.703860193952E+03
 2.200000000000E-01 -7.008201017295E+02  9.981330106520E+02 -1.698953112381E+03
 2.300000000000E-01 -7.008208452164E+02  9.884413395039E+02 -1.689262184720E+03
 2.400000000000E-01 -7.008333547555E+02  9.784864862527E+02 -1.679319841008E+03
 2.500000000000E-01 -7.008359127253E+02  9.738418637162E+02 -1.674677776441E+03
 2.600000000000E-01 -7.008356822544E+02  9.755020048285E+02 -1.676337687083E+03
 2.700000000000E-01 -7.008369602077E+02  9.805997291136E+02 -1.681436689321E+03
 2.800000000000E-01 -7.008392566360E+02  9.887982586430E+02 -1.689637515279E+03
 2.900000000000E-01 -7.008331331784E+02  1.000023779508E+03 -1.700856912687E+03
 3.000000000000E-01 -7.008390413838E+02  1.010734033501E+03 -1.711573074884E+03
 3.100000000000E-01 -7.008375053443E+02  1.017202980354E+03 -1.718040485698E+03
 3.200000000000E-01 -7.008303146697E+02  1.018967995113E+03 -1.719798309783E+03
 3.300000000000E-01 -7.008325853436E+02  1.019207618147E+03 -1.720040203491E+03
 3.400000000000E-01 -7.008287387263E+02  1.022482568865E+03 -1.723311307591E+03
 3.500000000000E-01 -7.008298027016E+02  1.029421319660E+03 -1.730251122362E+03
 3.600000000000E-01 -7.008218980376E+02  1.034643817181E+03 -1.735465715219E+03
 3.700000000000E-01 -7.008247082712E+02  1.033684273281E+03 -1.734508981552E+03
 3.800000000000E-01 -7.008164980084E+02  1.027133974481E+03 -1.727950472489E+03
 3.900000000000E-01 -7.008192877633E+02  1.018267578772E+03 -1.719086866535E+03
 4.000000000000E-01 -7.008159419094E+02  1.011603353683E+03 -1.712419295592E+03
 4.100000000000E-01 -7.008195590717E+02  1.009738122812E+03 -1.710557681884E+03
 4.200000000000E-01 -7.008208709789E+02  1.008663510485E+03 -1.709484381464E+03
 4.300000000000E-01 -7.008106245505E+02  1.004247667834E+03 -1.705058292385E+03
 4.400000000000E-01 -7.008241643419E+02  9.978588222704E+02 -1.698682986612E+03
 4.500000000000E-01 -7.008233661512E+02  9.943954300505E+02 -1.695218796202E+03
 4.600000000000E-01 -7.008338600467E+02  9.987741658381E+02 -1.699608025885E+03
 4.700000000000E-01 -7.008257098041E+02  1.010838363460E+03 -1.711664073264E+03
 4.800000000000E-01 -7.008275236892E+02  1.024209324367E+03 -1.725036848057E+03
 4.900000000000E-01 -7.008270149915E+02  1.033949195346E+03 -1.734776210337E+03
 5.000000000000E-01 -7.008293152185E+02  1.038407633366E+03 -1.739236948585E+03
 5.100000000000E-01 -7.008310791413E+02  1.038221125553E+03 -1.739052204694E+03
 5.200000000000E-01 -7.008251771650E+02  1.037206328266E+03 -1.738031505431E+03
 5.300000000000E-01 -7.008369723706E+02  1.037315386886E+03 -1.738152359256E+03
 5.400000000000E-01 -7.008331492560E+02  1.035944648586E+03 -1.736777797842E+03
 5.500000000000E-01 -7.008364741634E+02  1.030791548611E+03 -1.731628022774E+03
 5.600000000000E-01 -7.008449038376E+02  1.022656443485E+03 -1.723501347323E+03
 5.700000000000E-01 -7.008390145017E+02  1.014140571189E+03 -1.714979585690E+03
 5.800000000000E-01 -7.008443843116E+02  1.006260205223E+03 -1.707104589535E+03
 5.900000000000E-01 -7.008425966779E+02  9.999039360162E+02 -1.700746532694E+03
 6.000000000000E-01 -7.008320933803E+02  9.952758725332E+02 -1.696107965914E+03
 6.100000000000E-01 -7.008359170841E+02  9.942369801335E+02 -1.695072897218E+03
 6.200000000000E-01 -7.008428610180E+02  9.986777126626E+02 -1.699520573681E+03
 6.300000000000E-01 -7.008467269880E+02  1.004557641751E+03 -1.705404368739E+03
 6.400000000000E-01 -7.008505467121E+02  1.008274909392E+03 -1.709125456105E+03
 6.500000000000E-01 -7.008528511281E+02  1.011424118606E+03 -1.712276969734E+03
 6.600000000000E-01 -7.008585006812E+02  1.013542143808E+03 -1.714400644490E+03
 6.700000000000E-01 -7.008574756091E+02  1.011920731893E+03 -1.712778207502E+03
 6.800000000000E-01 -7.008415827708E+02  1.006508820908E+03 -1.707350403679E+03
 6.900000000000E-01 -7.008402883497E+02  1.000407028915E+03 -1.701247317264E+03
 7.000000000000E-01 -7.008382597121E+02  9.958481565496E+02 -1.696686416262E+03
 7.100000000000E-01 -7.008364734622E+02  9.911543821184E+02 -1.691990855581E+03
 7.200000000000E-01 -7.008264626192E+02  9.864313621754E+02 -1.687257824795E+03
 7.300000000000E-01 -7.008267040981E+02  9.856545694982E+02 -1.686481273596E+03
 7.400000000000E-01 -7.008382425893E+02  9.907747889096E+02 -1.691613031499E+03
 7.500000000000E-01 -7.008308425972E+02  9.988669902704E+02 -1.699697832868E+03
 7.600000000000E-01 -7.008288183275E+02  1.005694948141E+03 -1.706523766468E+03
 7.700000000000E-01 -7.008352209661E+02  1.007746360192E+03 -1.708581581158E+03
 7.800000000000E-01 -7.008326081124E+02  1.005590829206E+03 -1.706423437319E+03
 7.900000000000E-01 -7.008200380632E+02  1.006728759681E+03 -1.707548797745E+03
 8.000000000000E-01 -7.008295479433E+02  1.014296236664E+03 -1.715125784607E+03
 8.100000000000E-01 -7.008285311525E+02  1.022761263503E+03 -1.723589794656E+03
 8.200000000000E-01 -7.008247024841E+02  1.028830686907E+03 -1.729655389392E+03
 8.300000000000E-01 -7.008306034690E+02  1.029958135643E+03 -1.730788739112E+03
 8.400000000000E-01 -7.008349465396E+02  1.024326890579E+03 -1.725161837119E+03
 8.500000000000E-01 -7.008377394283E+02  1.013575852911E+03 -1.714413592339E+03
 8.600000000000E-01 -7.008287757165E+02  1.001639006323E+03 -1.702467782040E+03
 8.700000000000E-01 -7.008134063827E+02  9.910673426610E+02 -1.691880749044E+03
 8.800000000000E-01 -7.008167322487E+02  9.845166352544E+02 -1.685333367503E+03
 8.900000000000E-01 -7.008213653141E+02  9.827186238868E+02 -1.683539989201E+03
 9.000000000000E-01 -7.008188257910E+02  9.823740433109E+02 -1.683192869102E+03
 9.100000000000E-01 -7.008218792633E+02  9.809767744529E+02 -1.681798653716E+03
 9.200000000000E-01 -7.008310588486E+02  9.812598339874E+02 -1.682090892836E+03
 9.300000000000E-01 -7.008257074453E+02  9.874387513934E+02 -1.688264458839E+03
 9.400000000000E-01 -7.008257463746E+02  9.962448248218E+02 -1.697070571196E+03
 9.500000000000E-01 -7.008208883296E+02  1.001984952547E+03 -1.702805840877E+03
 9.600000000000E-01 -7.008224353243E+02  1.002655845162E+03 -1.703478280486E+03
 9.700000000000E-01 -7.008185789002E+02  9.970477714875E+02 -1.697866350388E+03
 9.800000000000E-01 -7.008193016377E+02  9.880471205668E+02 -1.688866422205E+03
 9.900000000000E-01 -7.008210878571E+02  9.817895697411E+02 -1.682610657598E+03
 1.000000000000E+00 -7.008280006092E+02  9.800579472339E+02 -1.680885947843E+03
 1.010000000000E+00 -7.008290256827E+02  9.825495742753E+02 -1.683378599958E+03
 1.020000000000E+00 -7.008241678886E+02  9.887349154569E+02 -1.689559083346E+03
 1.030000000000E+00 -7.008144636904E+02  9.970829057577E+02 -1.697897369448E+03
 1.040000000000E+00 -7.008160121494E+02  1.004236199835E+03 -1.705052211984E+03
 1.050000000000E+00 -7.008203578574E+02  1.008201752744E+03 -1.709022110601E+03
 1.060000000000E+00 -7.008201020030E+02  1.009366275826E+03 -1.710186377829E+03
 1.070000000000E+00 -7.008226635304E+02  1.007951803795E+03 -1.708774467325E+03
 1.080000000000E+00 -7.008218853512E+02  1.004467512966E+03 -1.705289398317E+03
 1.090000000000E+00 -7.008349614246E+02  1.000302098028E+03 -1.701137059453E+03
 1.100000000000E+00 -7.008354581739E+02  9.938952558683E+02 -1.694730714042E+03
 1.110000000000E+00 -7.008305441130E+02  9.877057806954E+02 -1.688536324808E+03
 1.120000000000E+00 -7.008349034669E+02  9.878714097701E+02 -1.688706313237E+03
 1.130000000000E+00 -7.008287992402E+02  9.933206909945E+02 -1.694149490235E+03
 1.140000000000E+00 -7.008326724065E+02  9.977303468878E+02 -1.698563019294E+03
 1.150000000000E+00 -7.008331668244E+02  9.959705295282E+02 -1.696803696353E+03
