Temperatura:  1.331218500212E+00 ±  1.298851793547E-03      9.76E-02 %
Presión:      1.857174909794E-01 ±  4.713905237248E-03      2.54E+00 %
alphaE:      -6.155718523406E-01 ±  2.270263969286E-02     -3.69E+00 %
Cv:           9.794083591890E+02 ±  1.319038109162E+01      1.35E+00 %
gamma:        1.366625027892E+00 ±  4.618797400440E-02      3.38E+00 %
kS:           3.671922631897E-01 ±  5.049417913469E-02      1.38E+01 %
alphaS:      -5.496690519645E-01 ±  1.858496410921E-02     -3.38E+00 %
kT:           3.468653103354E+00 ±  4.937704948205E+00      1.42E+02 %
Cp:           9.251904751592E+03 ±  1.323218795168E+04      1.43E+02 %
alphaP:       4.642736818335E+00 ±  6.611197375329E+00      1.42E+02 %
